War of the worlds: War, fiction, action
Inception: Sci-fi, thriller, mystery
Gladiator: Action, drama, historical
The Matrix: Sci-fi, action, dystopian
Interstellar: Sci-fi, drama, adventure
Mad Max: Fury Road: Action, dystopian, adventure
1917: War, drama, history
Edge of Tomorrow: Sci-fi, action, thriller
Dunkirk: War, historical, thriller
Avatar: Sci-fi, action, fantasy
Saving Private Ryan: War, drama, action
Tenet: Sci-fi, thriller, action
The Dark Knight: Action, crime, thriller
Black Hawk Down: War, action, historical
The Revenant: Adventure, drama, survival
Hacksaw Ridge: War, drama, biography
Avengers: Endgame: Sci-fi, action, superhero
The Lord of the Rings: The Return of the King: Fantasy, adventure, action
Star Wars: Episode V - The Empire Strikes Back: Sci-fi, fantasy, action
The Bourne Ultimatum: Action, thriller, espionage
Zero Dark Thirty: War, thriller, political
Braveheart: War, drama, historical
The Hurt Locker: War, drama, thriller
The Imitation Game: War, drama, biography
Snowpiercer: Sci-fi, dystopian, thriller
Pacific Rim: Sci-fi, action, monster
Children of Men: Sci-fi, thriller, dystopian
Iron Man: Sci-fi, action, superhero
Guardians of the Galaxy: Sci-fi, comedy, action
Doctor Strange: Fantasy, sci-fi, action
The Avengers: Sci-fi, action, superhero
Man of Steel: Sci-fi, superhero, action
Oblivion: Sci-fi, mystery, action
The Tomorrow War: Sci-fi, action, war
